"Timestamp"	"participant.id"	"Consent"	"Condition"	"Response"	"Normal_Utt_latinized_mixedcase"	"Normal_Utt_latinized_first"	"Normal_Utt_latinized"	"Normal_Utt"	"Normal_Utt_gloss"	"Back_translation"	"Specificity"	"Directionality"
"11/5/2020 3:34:13"	"81815c4c44c404f5791b3e04"	"من موافقم"	"target_h1"	"شصت دست"	"Shaste dast"	"shaste dast"	"shaste dast"	"شست دست"	"thumb of the hand"	"thumb"	1	0
"11/5/2020 4:01:08"	"008a1865d2b72985f6535a10"	"من موافقم"	"target_h1"	"شست دست"	"Shaste dast"	"shaste dast"	"shaste dast"	"شست دست"	"thumb of the hand"	"thumb"	1	0
"11/5/2020 5:41:38"	"004b22750fd8a8d5849ea010"	"من موافقم"	"target_h1"	"شصت دست"	"Shaste dast"	"shaste dast"	"shaste dast"	"شست دست"	"thumb of the hand"	"thumb"	1	0
"11/5/2020 6:45:17"	"d103cd38ade8d4e5bfda5939"	"من موافقم"	"target_h1"	"شست دست"	"Shaste dast"	"shaste dast"	"shaste dast"	"شست دست"	"thumb of the hand"	"thumb"	1	0
"11/5/2020 14:07:24"	"710fb8b124c005f5a2e0e9e9"	"من موافقم"	"target_h1"	"شصت دست"	"Shaste dast"	"shaste dast"	"shaste dast"	"شست دست"	"thumb of the hand"	"thumb"	1	0
"11/5/2020 15:02:37"	"012f21f0b4b470f5dea08441"	"من موافقم"	"target_h1"	"شصت دست چپش"	"Shaste dast"	"shaste dast"	"shaste dast"	"شست دست"	"thumb of the hand"	"thumb"	1	1
"11/5/2020 15:02:45"	"d2347ff5704930f5a384c128"	"من موافقم"	"target_h1"	"شست دست چپ"	"Shaste daste"	"shaste daste"	"shaste dast"	"شست دست"	"thumb of the hand"	"thumb"	1	1
"11/5/2020 17:30:48"	"93784488db1ad2e58096fb13"	"من موافقم"	"target_h1"	"پایین تر از شست دست چپش"	"Shaste daste"	"shaste daste"	"shaste dast"	"شست دست"	"thumb of the hand"	"thumb"	1	1
"11/4/2020 17:59:49"	"006c3c4846f2c3d50cb20f61"	"من موافقم"	"target_f1"	"شست پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/4/2020 18:01:51"	"d0c4e5f7b68d88f5f1368e0a"	"من موافقم"	"target_f1"	"شصت پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 1:29:08"	"00bfc9d787a815d54d1b2951"	"من موافقم"	"target_f1"	"شست پایش"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 1:32:10"	"144d679652d424f5ea713bf6"	"من موافقم"	"target_f1"	"شصت پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 2:07:40"	"00d30a8710a046d51cf41f61"	"من موافقم"	"target_f1"	"شست پا راست"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	1
"11/5/2020 3:34:13"	"81815c4c44c404f5791b3e04"	"من موافقم"	"target_f1"	"شصت پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 4:01:08"	"008a1865d2b72985f6535a10"	"من موافقم"	"target_f1"	"شست پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 5:27:33"	"4ae4d3fba735dfd53e0ed842"	"من موافقم"	"target_f1"	"شصت پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 5:41:38"	"004b22750fd8a8d5849ea010"	"من موافقم"	"target_f1"	"شصت پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 10:41:20"	"10c8eb5a2aea22f5896ee68e"	"من موافقم"	"target_f1"	"شصت پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 14:07:24"	"710fb8b124c005f5a2e0e9e9"	"من موافقم"	"target_f1"	"شصت پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 15:02:37"	"012f21f0b4b470f5dea08441"	"من موافقم"	"target_f1"	"شست پایش"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 15:02:45"	"d2347ff5704930f5a384c128"	"من موافقم"	"target_f1"	"شست پا"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
"11/5/2020 17:30:48"	"93784488db1ad2e58096fb13"	"من موافقم"	"target_f1"	"شست پاش"	"Shaste pa"	"shaste pa"	"shaste pā"	"شست پا"	"thumb of the foot"	"big toe"	1	0
